index,Country Key,Country,Date,Precipitation,Temp Avg,Temp Max,Temp Min
441,12,Bosnia and Herzegovina,2/23/2020,0.0,50.0,58.0,44.0
442,12,Bosnia and Herzegovina,2/24/2020,,53.0,60.0,49.0
443,12,Bosnia and Herzegovina,2/25/2020,,57.0,64.0,47.0
444,12,Bosnia and Herzegovina,2/26/2020,,58.0,61.0,
445,12,Bosnia and Herzegovina,2/27/2020,0.03,48.0,55.0,38.0
446,12,Bosnia and Herzegovina,2/28/2020,0.62,51.0,58.0,
447,12,Bosnia and Herzegovina,2/29/2020,0.61,47.0,56.0,39.0
421,12,Bosnia and Herzegovina,2/3/2020,,57.0,63.0,53.0
422,12,Bosnia and Herzegovina,2/4/2020,,55.0,61.0,
423,12,Bosnia and Herzegovina,2/5/2020,0.07,49.0,52.0,45.0
424,12,Bosnia and Herzegovina,2/6/2020,0.0,44.0,51.0,
425,12,Bosnia and Herzegovina,2/7/2020,,47.0,57.0,40.0
426,12,Bosnia and Herzegovina,2/8/2020,0.0,47.0,55.0,42.0
427,12,Bosnia and Herzegovina,2/9/2020,,49.0,60.0,
448,12,Bosnia and Herzegovina,3/1/2020,0.0,55.0,59.0,48.0
449,12,Bosnia and Herzegovina,3/2/2020,0.01,59.0,64.0,53.0
450,13,Brazil,1/22/2020,0.0,76.0,,
451,13,Brazil,1/23/2020,,75.0,83.0,
452,13,Brazil,1/24/2020,0.51,74.0,,71.0
453,13,Brazil,1/25/2020,0.04,77.0,,71.0
454,13,Brazil,1/26/2020,0.0,77.0,,69.0
455,13,Brazil,1/27/2020,0.0,81.0,,73.0
456,13,Brazil,1/28/2020,0.0,83.0,,76.0
457,13,Brazil,1/29/2020,0.0,83.0,93.0,77.0
458,13,Brazil,1/30/2020,0.0,85.0,,
459,13,Brazil,1/31/2020,0.16,84.0,,76.0
460,13,Brazil,2/1/2020,0.0,84.0,100.0,
469,13,Brazil,2/10/2020,0.0,80.0,96.0,
470,13,Brazil,2/11/2020,2.83,73.0,85.0,
471,13,Brazil,2/12/2020,0.59,71.0,,70.0
472,13,Brazil,2/13/2020,0.47,74.0,,70.0
473,13,Brazil,2/14/2020,0.0,76.0,,71.0
